tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,total_awarded_amt
CPF000ETT15000010,Central Provident Fund Board,Tender for Printing and Delivery of Envelopes for Two (2) Years with Option to Extend for Another Two (2) Years,2015-04-17,Awarded to Suppliers,MIN HWA ENVELOPE MANUFACTURERS PTE. LTD.,70872
CPF000ETT15000011,Central Provident Fund Board,"Tender for Tableau Software, Support Services and Professional Services for a Period of One (1) Year with Option to Extend for a Period of One (1) Year",2015-05-07,Awarded to Suppliers,Knowledge Management Solutions Pte Ltd,111831
CPF000ETT15000012,Central Provident Fund Board,Tender for Nominated Sub-Contract and Two (2) Years Maintenance Contract for the System Furniture and Chairs,2015-08-04,Awarded to Suppliers,Office Planner Pte Ltd,3705740
CPF000ETT15000013,Central Provident Fund Board,Tender for Office Renovation Works,2015-07-09,Awarded to Suppliers,DB & B PTE LTD,24298058
CPF000ETT15000014,Central Provident Fund Board,Tender for Nominated Sub-Contract and Five (5) Years Comprehensive Maintenance Contract for CCTV and Card Access Security System,2015-09-03,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,1892313
CPF000ETT15000014,Central Provident Fund Board,Tender for Nominated Sub-Contract and Five (5) Years Comprehensive Maintenance Contract for CCTV and Card Access Security System,2015-09-03,Awarded to Suppliers,JOHNSON CONTROLS (S) PTE. LTD.,1892313
CPF000ETT15000016,Central Provident Fund Board,Tender for Panel of Recruitment Agencies for Temporary Staff,2015-09-02,Awarded to Suppliers,APBA PTE. LTD.,4917.78
CPF000ETT15000016,Central Provident Fund Board,Tender for Panel of Recruitment Agencies for Temporary Staff,2015-09-02,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd,4917.78
CPF000ETT15000016,Central Provident Fund Board,Tender for Panel of Recruitment Agencies for Temporary Staff,2015-09-02,Awarded to Suppliers,CAPITA PTE. LTD.,4917.78
CPF000ETT15000016,Central Provident Fund Board,Tender for Panel of Recruitment Agencies for Temporary Staff,2015-09-02,Awarded to Suppliers,ML Consulting Pte Ltd,4917.78
CPF000ETT15000016,Central Provident Fund Board,Tender for Panel of Recruitment Agencies for Temporary Staff,2015-09-02,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,4917.78
CPF000ETT15000016,Central Provident Fund Board,Tender for Panel of Recruitment Agencies for Temporary Staff,2015-09-02,Awarded to Suppliers,Recruit Express Pte Ltd,4917.78
CPF000ETT15000016,Central Provident Fund Board,Tender for Panel of Recruitment Agencies for Temporary Staff,2015-09-02,Awarded to Suppliers,SEACARE MANPOWER SERVICES PTE LTD,4917.78
CPF000ETT15000016,Central Provident Fund Board,Tender for Panel of Recruitment Agencies for Temporary Staff,2015-09-02,Awarded to Suppliers,TEMPSERV PTE.LTD.,4917.78
CPF000ETT15000017,Central Provident Fund Board,Tender for the Supply of Managed Print Services,2015-09-22,Awarded to Suppliers,CANON SINGAPORE PTE. LTD.,15385.13
CPF000ETT15000018,Central Provident Fund Board,"Tender to Replace Car Park System including 3 Years Comprehensive Maintenance at CPF Tampines, Bishan And Jurong Buildings",2015-09-18,Awarded to Suppliers,FERMAX ASIA PACIFIC PTE. LTD.,97800
CPF000ETT15000019,Central Provident Fund Board,Tender for the Installation and Maintenance of Integrated Voice and Video Recording System,2015-11-12,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,306600
CPF000ETT15000023,Central Provident Fund Board,"Tender for ""Delivering Excellent Service Through Effective Writing"" course for year 2015 and 2016",2015-11-03,Awarded to Suppliers,ANNE LEONG HRD CONSULTING,41500
CPF000ETT15000026,Central Provident Fund Board,"Tender for Nominated Sub-Contract for Professional Move Logistic Services to Shift Furniture, Machines, Equipment, Miscellaneous Items and Documents",2015-09-21,Awarded to Suppliers,COLLIN'S MOVERS PTE. LTD.,142000
CPF000ETT15000028,Central Provident Fund Board,Tender for Consultancy Services for Design-led Programme to Drive Service Excellence,2015-09-30,Awarded to Suppliers,THINKPLACE SINGAPORE PTE. LTD.,278650
CPF000ETT15000029,Central Provident Fund Board,"Tender for the Supply, Delivery, Installation, Testing, Commissioning, Warranty, Maintenance and Professional Services for AS/400 Hardware and System Software",2015-09-28,Awarded to Suppliers,S & I Systems Pte Ltd,629000
CPF000ETT15000031,Central Provident Fund Board,"TENDER FOR TAILORING, SUPPLY AND DELIVERY OF MADE-TO-MEASURE UNIFORMS FOR CUSTOMER SERVICE EXECUTIVES (CSES) FOR A PERIOD OF ONE (1) YEAR WITH THE OPTION TO EXTEND ANNUALLY FOR TWO (2) YEARS",2015-12-24,Awarded to Suppliers,BARON ASIA GROUP PTE. LTD.,295.8
CPM000ETT15000001,Centre for Public Project Management,"Proposed Design and Build of an 8th Storey Office Unit #08-01 at HDB Hub, East Wing 480 Lorong 6 Toa Payoh, Singapore 310480.",2015-02-06,Awarded to Suppliers,VALENCIA DESIGN PTE. LTD.,222000
CPM000ETT15000002,Centre for Public Project Management,Tenderers with EPPU registration under the supply head EPU/SER/34 (Consultancy Services) at Financial Grade S2 and above are invited to participate in this tender.,2015-12-09,Awarded to Suppliers,JCP CONSULTANCY INTERNATIONAL LIMITED,71400
CPM000ETT15000002,Centre for Public Project Management,Tenderers with EPPU registration under the supply head EPU/SER/34 (Consultancy Services) at Financial Grade S2 and above are invited to participate in this tender.,2015-12-09,Awarded to Suppliers,THE AUSTRALIAN CENTRE FOR VALUE MANAGEMENT PTY LTD,71400
CRA000ETT14000011,Casino Regulatory Authority,Procurement of Comprehensive Maintenance for SAN Infrastructure Equipment for the Casino Regulatory Authority of Singapore,2015-01-23,Awarded to No Suppliers,na,0
CRA000ETT15000005,Casino Regulatory Authority,ITT for Provision of Receptionist Service for a period of Two Years with the Option to Extend One Year for the Casino Regulatory Authority of Singapore,2015-05-08,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,100080
CRA000ETT15000006,Casino Regulatory Authority,Invitation to Tender  Provision of Cleaning Services for a Period of Two (2) Years with an Option to Extend Another One (1) Year for The Casino Regulatory Authority of Singapore,2015-06-16,Awarded to Suppliers,Sun City Maintenance Pte. Ltd.,216000
CRA000ETT15000009,Casino Regulatory Authority,"ITT for Media Monitoring Services for 12 months period, with options to extend for another 1 + 1 years",2015-06-17,Awarded to Suppliers,NEWS SEARCH (SINGAPORE) PTE. LTD.,118800
CRA000ETT15000011,Casino Regulatory Authority,"An open tender for the supply, delivery, installation, testing and commissioning of the Games Equipment System (GAMES) for Casino Regulatory Authority with an option for support and maintenance for 4 years.",2015-12-23,Awarded to Suppliers,ST ELECTRONICS (INFO-SOFTWARE SYSTEMS) PTE. LTD.,1628750
CSC000ETT14000013,Civil Service College,INVITATION TO TENDER FOR A PERIOD CONTRACT FOR PROVISION OF PHOTOGRAPHY SERVICES TO CIVIL SERVICE COLLEGE,2015-01-07,Awarded to Suppliers,AAXONN PTE. LTD.,7093.1
CSC000ETT14000013,Civil Service College,INVITATION TO TENDER FOR A PERIOD CONTRACT FOR PROVISION OF PHOTOGRAPHY SERVICES TO CIVIL SERVICE COLLEGE,2015-01-07,Awarded to Suppliers,DANCING BEAR PRODUCTIONS PTE. LTD.,7093.1
CSC000ETT14000013,Civil Service College,INVITATION TO TENDER FOR A PERIOD CONTRACT FOR PROVISION OF PHOTOGRAPHY SERVICES TO CIVIL SERVICE COLLEGE,2015-01-07,Awarded to Suppliers,Picture Communication,7093.1
CSC000ETT14000013,Civil Service College,INVITATION TO TENDER FOR A PERIOD CONTRACT FOR PROVISION OF PHOTOGRAPHY SERVICES TO CIVIL SERVICE COLLEGE,2015-01-07,Awarded to Suppliers,RAY PHOTOGRAPHY,7093.1
CSC000ETT14000017,Civil Service College,"TENDER FOR THE AUDIT OF GROUP FINANCIAL STATEMENTS FOR FINANCIAL YEAR ENDING 31 MARCH 2015 (FY2014), WITH AN OPTION TO APPOINT THE EXTERNAL AUDITOR ON AN ANNUAL BASIS FOR ANOTHER FOUR YEARS (FY2015, FY2016, FY2017 & FY2018)",2015-01-21,Awarded to Suppliers,FOO KON TAN LLP,50000
CSC000ETT14000018,Civil Service College,INVITATION TO TENDER FOR CSC WEBSITE MAINTENANCE FOR CIVIL SERVICE COLLEGE,2015-02-10,Awarded to Suppliers,NCS PTE. LTD.,320130.3
CSC000ETT14000020,Civil Service College,INVITATION TO TENDER FOR THE PROVISION OF DATA COLLECTION AND DATA ANALYSIS SERVICES FOR A TIME USE SURVEY,2015-02-05,Awarded to Suppliers,INRESEARCH PTE. LTD.,62800
CSC000ETT14000023,Civil Service College,INVITATION TO TENDER FOR THE DEVELOPMENT OF A TRAINING ANALYTICS FOR THE PUBLIC SERVICE (TAPS) SYSTEM FOR CIVIL SERVICE COLLEGE,2015-09-16,Awarded to Suppliers,NCS PTE. LTD.,889503.95
CSC000ETT15000001,Civil Service College,"INVITATION TO TENDER FOR THE SUPPLY, IMPLEMENTATION, NETWORKING, INSTALLATION AND COMMISSIONING OF THE INTERACTIVE DIGITAL SIGNAGE SYSTEMS",2015-03-05,Awarded to Suppliers,PRESTIGE SOLUTIONS PTE. LTD.,32000
CSC000ETT15000004,Civil Service College,REQUEST FOR PROPOSAL FOR RESEARCH STUDY ON EXPECTATIONS OF PUBLIC SERVICE'S DELIVERY FOR CIVIL SERVICE COLLEGE,2015-07-01,Awarded to Suppliers,TRUTH CONSULTING PTE. LTD.,34900
CSC000ETT15000005,Civil Service College,INVITATION TO TENDER FOR THE REFURBISHMENT OF TRAINING ROOMS IN CIVIL SERVICE COLLEGE AT 31 NORTH BUONA VISTA ROAD,2015-03-16,Awarded to Suppliers,HON BUILDER PTE. LTD.,1069220
CSC000ETT15000006,Civil Service College,INVITATION TO TENDER FOR THE VENUE PACKAGE FOR PUBLIC SERVICE STAFF CONFERENCE 2015,2015-04-13,Awarded to Suppliers,SINGEX VENUES PTE. LTD.,83550
CSC000ETT15000008,Civil Service College,"TENDER FOR THE PROVISION OF INTERNAL AUDIT SERVICES FOR THE FINANCIAL YEAR ENDING 31 MARCH 2016(FY2015),WITH AN OPTION TO EXTEND ON AN ANNUAL BASIS FOR ANOTHER TWO YEARS(FY2016&FY2017)",2015-07-02,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.,36260
CSC000ETT15000009,Civil Service College,INVITATION TO TENDER FOR THE VENUE PACKAGE FOR THE PEOPLE MATTERS CONFERENCE 2015,2015-06-12,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,137975
CSC000ETT15000010,Civil Service College,"INVITATION TO TENDER FOR THE PROVISION OF MEALS, TRANSPORT, LIAISON AND LOGISTICS SERVICES FOR TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",2015-10-26,Awarded to Suppliers,BEPA CONSULTANT INTERNATIONAL,35005.9
CSC000ETT15000010,Civil Service College,"INVITATION TO TENDER FOR THE PROVISION OF MEALS, TRANSPORT, LIAISON AND LOGISTICS SERVICES FOR TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",2015-10-26,Awarded to Suppliers,EBUS EXPRESS PTE. LTD.,35005.9
CSC000ETT15000010,Civil Service College,"INVITATION TO TENDER FOR THE PROVISION OF MEALS, TRANSPORT, LIAISON AND LOGISTICS SERVICES FOR TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",2015-10-26,Awarded to Suppliers,GOLDEN TRAVEL SERVICES PTE LTD,35005.9
CSC000ETT15000010,Civil Service College,"INVITATION TO TENDER FOR THE PROVISION OF MEALS, TRANSPORT, LIAISON AND LOGISTICS SERVICES FOR TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",2015-10-26,Awarded to Suppliers,HEE PENG LIANG,35005.9
CSC000ETT15000010,Civil Service College,"INVITATION TO TENDER FOR THE PROVISION OF MEALS, TRANSPORT, LIAISON AND LOGISTICS SERVICES FOR TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",2015-10-26,Awarded to Suppliers,LIAISON NETWORK,35005.9
CSC000ETT15000010,Civil Service College,"INVITATION TO TENDER FOR THE PROVISION OF MEALS, TRANSPORT, LIAISON AND LOGISTICS SERVICES FOR TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",2015-10-26,Awarded to Suppliers,NG ENG LEE BUS SERVICE AND EXCURSION BUS,35005.9
CSC000ETT15000012,Civil Service College,INVITATION TO TENDER FOR THE PERIOD CONTRACT FOR PROVISION OF CATERING SERVICES TO CIVIL SERVICE COLLEGE,2015-09-17,Awarded to Suppliers,Brinda's Pte Ltd,3874.75
CSC000ETT15000012,Civil Service College,INVITATION TO TENDER FOR THE PERIOD CONTRACT FOR PROVISION OF CATERING SERVICES TO CIVIL SERVICE COLLEGE,2015-09-17,Awarded to Suppliers,CASSEROLE CATERING SERVICES PTE. LTD.,3874.75
CSC000ETT15000012,Civil Service College,INVITATION TO TENDER FOR THE PERIOD CONTRACT FOR PROVISION OF CATERING SERVICES TO CIVIL SERVICE COLLEGE,2015-09-17,Awarded to Suppliers,CONTINENTAL DELIGHT CATERING SERVICES PTE. LTD.,3874.75
CSC000ETT15000012,Civil Service College,INVITATION TO TENDER FOR THE PERIOD CONTRACT FOR PROVISION OF CATERING SERVICES TO CIVIL SERVICE COLLEGE,2015-09-17,Awarded to Suppliers,ELSIE'S KITCHEN CATERING SERVICES PTE. LTD.,3874.75
CSC000ETT15000012,Civil Service College,INVITATION TO TENDER FOR THE PERIOD CONTRACT FOR PROVISION OF CATERING SERVICES TO CIVIL SERVICE COLLEGE,2015-09-17,Awarded to Suppliers,PANG CATERING,3874.75
CSC000ETT15000012,Civil Service College,INVITATION TO TENDER FOR THE PERIOD CONTRACT FOR PROVISION OF CATERING SERVICES TO CIVIL SERVICE COLLEGE,2015-09-17,Awarded to Suppliers,THYME FOOD & SERVICES PTE. LTD.,3874.75
CSC000ETT15000015,Civil Service College,"INVITATION TO TENDER FOR THE NON-COMPREHENSIVE MAINTENANCE OF AIRCONDITIONING & MECHANICAL VENTILATION SYSTEMS, MECHANICAL & ELECTRICAL SERVICES, LIGHTINGS, FIRE PROTECTION & FIGHTING SYSTEMS, SANITARY & PLUMBING SYSTEM, BUILDERS WORKS AND CIVIL DEFENCE (CD) SHELTER FOR  CIVIL SERVICE COLLEGE FOR THREE (3) YEARS",2015-09-28,Awarded to Suppliers,ACESIAN STAR (S) PTE. LTD.,514080
CSC000ETT15000016,Civil Service College,INVITATION TO TENDER FOR APPOINTMENT OF TRAINING VENUE PROVIDER(S) FOR THE PROVISION OF TRAINING VENUES AND RELATED FACILITIES & SERVICES FOR THE HOSTING OF TRAINING PROGRAMMES FOR CIVIL SERVICE COLLEGE FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2015-12-08,Awarded to Suppliers,SINGAPORE MANAGEMENT UNIVERSITY,6900
CSC000ETT15000017,Civil Service College,PERIOD CONTRACT FOR THE PROVISION OF ON-SITE PRINTING SERVICES FOR CIVIL SERVICE COLLEGE FOR A PERIOD OF THREE (3) YEARS,2015-11-11,Awarded to Suppliers,ALL-BEST PHOTOCOPY & PRINTING,14.34
CSC000ETT15000018,Civil Service College,"INVITATION TO TENDER FOR THE PROVISION OF HOTEL ACCOMMODATION, SEMINAR PACKAGE AND DINNER IN OCTOBER-NOVEMBER 2015",2015-10-23,Awarded to Suppliers,ORCHARD PARADE HOTEL,76076
DEF000ETT14000085,Ministry of Defence,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",2015-09-25,Awarded to Suppliers,A-MOBILE PTE. LTD.,97
DEF000ETT14000085,Ministry of Defence,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",2015-09-25,Awarded to Suppliers,ACP OFFICE SUPPLIES PTE. LTD.,97
DEF000ETT14000085,Ministry of Defence,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",2015-09-25,Awarded to Suppliers,AGGASYS SOLUTIONS PTE. LTD.,97
DEF000ETT14000085,Ministry of Defence,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",2015-09-25,Awarded to Suppliers,Acer Computer (Singapore) Pte Ltd,97
DEF000ETT14000085,Ministry of Defence,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",2015-09-25,Awarded to Suppliers,AsiaPac Distribution Pte Ltd,97
DEF000ETT14000085,Ministry of Defence,"PERIOD CONTRACT FOR THE SUPPLY AND LEASING OF PERSONAL COMPUTERS, NOTEBOOKS, TABLETS, SMARTPHONES, PRINTERS AND SCANNERS",2015-09-25,Awarded to Suppliers,BusinessIT Pte Ltd,97
